Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW419,Certified Animal Naturopath™,animal-naturopath,pw419-pro-advanced,pw419-pro-master,pw419-pro-practice,animal_naturopath_purchased,pw419_pro_accelerator_purchased,animal-naturopath-certification,pw419-pro-accelerator,animal-naturopath-certification,checkout-animal-naturopath,oto-pw419-pro-accelerator,thank-you-animal-naturopath,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA143,Certified Animal-Assisted Therapy Coach™,animal-assisted-therapy,ea143-pro-advanced,ea143-pro-master,ea143-pro-practice,animal_assisted_therapy_purchased,ea143_pro_accelerator_purchased,animal-assisted-therapy-certification,ea143-pro-accelerator,animal-assisted-therapy-certification,checkout-animal-assisted-therapy,oto-ea143-pro-accelerator,thank-you-animal-assisted-therapy,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW016,Certified Bird Wellness Specialist™,bird-wellness,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW417,Certified Canine Massage Therapist™,canine-massage-therapist,pw417-pro-advanced,pw417-pro-master,pw417-pro-practice,canine_massage_therapist_purchased,pw417_pro_accelerator_purchased,canine-massage-therapist-certification,pw417-pro-accelerator,canine-massage-therapist-certification,checkout-canine-massage-therapist,oto-pw417-pro-accelerator,thank-you-canine-massage-therapist,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA146,Certified Canine-Assisted Wellness Coach™,canine-assisted-wellness,ea146-pro-advanced,ea146-pro-master,ea146-pro-practice,canine_assisted_wellness_purchased,ea146_pro_accelerator_purchased,canine-assisted-wellness-certification,ea146-pro-accelerator,canine-assisted-wellness-certification,checkout-canine-assisted-wellness,oto-ea146-pro-accelerator,thank-you-canine-assisted-wellness,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW411,Certified Cat Behavior Coach™,cat-behavior,pw411-pro-advanced,pw411-pro-master,pw411-pro-practice,cat_behavior_purchased,pw411_pro_accelerator_purchased,cat-behavior-certification,pw411-pro-accelerator,cat-behavior-certification,checkout-cat-behavior,oto-pw411-pro-accelerator,thank-you-cat-behavior,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW012,Certified Cat Enrichment Specialist™,cat-enrichment,,,,,,,,,,,,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW408,Certified Cat Nutrition Coach™,cat-nutrition,pw408-pro-advanced,pw408-pro-master,pw408-pro-practice,cat_nutrition_purchased,pw408_pro_accelerator_purchased,cat-nutrition-certification,pw408-pro-accelerator,cat-nutrition-certification,checkout-cat-nutrition,oto-pw408-pro-accelerator,thank-you-cat-nutrition,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA147,Certified Cat-Assisted Therapy Coach™,cat-assisted-therapy,ea147-pro-advanced,ea147-pro-master,ea147-pro-practice,cat_assisted_therapy_purchased,ea147_pro_accelerator_purchased,cat-assisted-therapy-certification,ea147-pro-accelerator,cat-assisted-therapy-certification,checkout-cat-assisted-therapy,oto-ea147-pro-accelerator,thank-you-cat-assisted-therapy,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW410,Certified Dog Behavior Coach™,dog-behavior,pw410-pro-advanced,pw410-pro-master,pw410-pro-practice,dog_behavior_purchased,pw410_pro_accelerator_purchased,dog-behavior-certification,pw410-pro-accelerator,dog-behavior-certification,checkout-dog-behavior,oto-pw410-pro-accelerator,thank-you-dog-behavior,97,397,NOT LAUNCHED
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW407,Certified Dog Nutrition Coach™,dog-nutrition,pw407-pro-advanced,pw407-pro-master,pw407-pro-practice,dog_nutrition_purchased,pw407_pro_accelerator_purchased,dog-nutrition-certification,pw407-pro-accelerator,dog-nutrition-certification,checkout-dog-nutrition,oto-pw407-pro-accelerator,thank-you-dog-nutrition,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA141,Certified Equine Therapy Foundations Coach™,equine-therapy-foundations,ea141-pro-advanced,ea141-pro-master,ea141-pro-practice,equine_therapy_foundations_purchased,ea141_pro_accelerator_purchased,equine-therapy-foundations-certification,ea141-pro-accelerator,equine-therapy-foundations-certification,checkout-equine-therapy-foundations,oto-ea141-pro-accelerator,thank-you-equine-therapy-foundations,97,397,NOT LAUNCHED
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,EA142,Certified Equine-Assisted Emotional Healing Coach™,equine-assisted-emotional-healing,ea142-pro-advanced,ea142-pro-master,ea142-pro-practice,equine_assisted_emotional_healing_purchased,ea142_pro_accelerator_purchased,equine-assisted-emotional-healing-certification,ea142-pro-accelerator,equine-assisted-emotional-healing-certification,checkout-equine-assisted-emotional-healing,oto-ea142-pro-accelerator,thank-you-equine-assisted-emotional-healing,97,397,NOT LAUNCHED
PET WELLNESS,Bella,BellaPetWellness,PW015,Certified Exotic Pet Nutrition Specialist™,exotic-pet,,,,,,,,,,,,97,397,NOT LAUNCHED
