Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW001,Certified Animal Naturopath™,animal-naturopath,pw001-pro-advanced,pw001-pro-master,pw001-pro-practice,animal_naturopath_purchased,pw001_pro_accelerator_purchased,animal-naturopath-certification,pw001-pro-accelerator,animal-naturopath-certification,checkout-animal-naturopath,oto-pw001-pro-accelerator,thank-you-animal-naturopath,97,397,NOT LAUNCHED,CATALOG,93
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,PW002,Certified Animal-Assisted Therapy Coach™,animal-assisted-therapy-coach,pw002-pro-advanced,pw002-pro-master,pw002-pro-practice,animal_assisted_therapy_coach_purchased,pw002_pro_accelerator_purchased,animal-assisted-therapy-coach-certification,pw002-pro-accelerator,animal-assisted-therapy-coach-certification,checkout-animal-assisted-therapy-coach,oto-pw002-pro-accelerator,thank-you-animal-assisted-therapy-coach,97,397,GENERATE NOW,FRONTEND,1
PET WELLNESS,Bella,BellaPetWellness,PW003,Certified Bird Wellness Specialist™,bird-wellness-specialist,pw003-pro-advanced,pw003-pro-master,pw003-pro-practice,bird_wellness_specialist_purchased,pw003_pro_accelerator_purchased,bird-wellness-specialist-certification,pw003-pro-accelerator,bird-wellness-specialist-certification,checkout-bird-wellness-specialist,oto-pw003-pro-accelerator,thank-you-bird-wellness-specialist,97,397,NOT LAUNCHED,CATALOG,95
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW004,Certified Canine Massage Therapist™,canine-massage-therapist,pw004-pro-advanced,pw004-pro-master,pw004-pro-practice,canine_massage_therapist_purchased,pw004_pro_accelerator_purchased,canine-massage-therapist-certification,pw004-pro-accelerator,canine-massage-therapist-certification,checkout-canine-massage-therapist,oto-pw004-pro-accelerator,thank-you-canine-massage-therapist,97,397,NOT LAUNCHED,CATALOG,96
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,PW005,Certified Canine-Assisted Wellness Coach™,canine-assisted-wellness-coach,pw005-pro-advanced,pw005-pro-master,pw005-pro-practice,canine_assisted_wellness_coach_purchased,pw005_pro_accelerator_purchased,canine-assisted-wellness-coach-certification,pw005-pro-accelerator,canine-assisted-wellness-coach-certification,checkout-canine-assisted-wellness-coach,oto-pw005-pro-accelerator,thank-you-canine-assisted-wellness-coach,97,397,NOT LAUNCHED,CATALOG,97
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW006,Certified Cat Behavior Coach™,cat-behavior-coach,pw006-pro-advanced,pw006-pro-master,pw006-pro-practice,cat_behavior_coach_purchased,pw006_pro_accelerator_purchased,cat-behavior-coach-certification,pw006-pro-accelerator,cat-behavior-coach-certification,checkout-cat-behavior-coach,oto-pw006-pro-accelerator,thank-you-cat-behavior-coach,97,397,NOT LAUNCHED,CATALOG,98
PET WELLNESS,Bella,BellaPetWellness,PW007,Certified Cat Enrichment Specialist™,cat-enrichment-specialist,pw007-pro-advanced,pw007-pro-master,pw007-pro-practice,cat_enrichment_specialist_purchased,pw007_pro_accelerator_purchased,cat-enrichment-specialist-certification,pw007-pro-accelerator,cat-enrichment-specialist-certification,checkout-cat-enrichment-specialist,oto-pw007-pro-accelerator,thank-you-cat-enrichment-specialist,97,397,NOT LAUNCHED,CATALOG,99
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW008,Certified Cat Nutrition Coach™,cat-nutrition-coach,pw008-pro-advanced,pw008-pro-master,pw008-pro-practice,cat_nutrition_coach_purchased,pw008_pro_accelerator_purchased,cat-nutrition-coach-certification,pw008-pro-accelerator,cat-nutrition-coach-certification,checkout-cat-nutrition-coach,oto-pw008-pro-accelerator,thank-you-cat-nutrition-coach,97,397,NOT LAUNCHED,CATALOG,100
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,PW009,Certified Cat-Assisted Therapy Coach™,cat-assisted-therapy-coach,pw009-pro-advanced,pw009-pro-master,pw009-pro-practice,cat_assisted_therapy_coach_purchased,pw009_pro_accelerator_purchased,cat-assisted-therapy-coach-certification,pw009-pro-accelerator,cat-assisted-therapy-coach-certification,checkout-cat-assisted-therapy-coach,oto-pw009-pro-accelerator,thank-you-cat-assisted-therapy-coach,97,397,NOT LAUNCHED,CATALOG,101
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW010,Certified Dog Behavior Coach™,dog-behavior-coach,pw010-pro-advanced,pw010-pro-master,pw010-pro-practice,dog_behavior_coach_purchased,pw010_pro_accelerator_purchased,dog-behavior-coach-certification,pw010-pro-accelerator,dog-behavior-coach-certification,checkout-dog-behavior-coach,oto-pw010-pro-accelerator,thank-you-dog-behavior-coach,97,397,NOT LAUNCHED,CATALOG,102
PET WELLNESS & ANIMAL CARE,Bella,BellaPetWellness,PW011,Certified Dog Nutrition Coach™,dog-nutrition-coach,pw011-pro-advanced,pw011-pro-master,pw011-pro-practice,dog_nutrition_coach_purchased,pw011_pro_accelerator_purchased,dog-nutrition-coach-certification,pw011-pro-accelerator,dog-nutrition-coach-certification,checkout-dog-nutrition-coach,oto-pw011-pro-accelerator,thank-you-dog-nutrition-coach,97,397,NOT LAUNCHED,CATALOG,103
"EQUINE, ANIMAL-ASSISTED & NATURE THERAPY",Bella,BellaPetWellness,PW012,Certified Equine Therapy Foundations Coach™,equine-therapy-foundations-coach,pw012-pro-advanced,pw012-pro-master,pw012-pro-practice,equine_therapy_foundations_coach_purchased,pw012_pro_accelerator_purchased,equine-therapy-foundations-coach-certification,pw012-pro-accelerator,equine-therapy-foundations-coach-certification,checkout-equine-therapy-foundations-coach,oto-pw012-pro-accelerator,thank-you-equine-therapy-foundations-coach,97,397,GENERATE NOW,FRONTEND,2
