Category,Coach,Pixel ID,Course Code,Course Name,L1 Slug,L2 Slug,L3 Slug,L4 Slug,L1 Tag,PRO Tag,CF L1 SKU,CF PRO SKU,Sales Page Slug,Checkout Slug,OTO 1 Slug,Thank You Page Slug,L1 Price,PRO Price,Status,Tier,Priority
PET WELLNESS,Bella,BellaPetWellness,PW025,Certified Pet End-of-Life Doula™,pet-end-of-life-doula,pw025-pro-advanced,pw025-pro-master,pw025-pro-practice,pet_end_of_life_doula_purchased,pw025_pro_accelerator_purchased,pet-end-of-life-doula-certification,pw025-pro-accelerator,pet-end-of-life-doula-certification,checkout-pet-end-of-life-doula,oto-pw025-pro-accelerator,thank-you-pet-end-of-life-doula,97,397,WEEK 4,QUICKWIN,88
PET WELLNESS,Bella,BellaPetWellness,PW035,Certified Raw Feeding Dog Specialist™,raw-feeding-dog-specialist,pw035-pro-advanced,pw035-pro-master,pw035-pro-practice,raw_feeding_dog_specialist_purchased,pw035_pro_accelerator_purchased,raw-feeding-dog-specialist-certification,pw035-pro-accelerator,raw-feeding-dog-specialist-certification,checkout-raw-feeding-dog-specialist,oto-pw035-pro-accelerator,thank-you-raw-feeding-dog-specialist,97,397,WEEK 4,QUICKWIN,87
PARENTING,Emma,EmmaParenting,EP004,Certified Blended Family Coach™,blended-family-coach,ep004-pro-advanced,ep004-pro-master,ep004-pro-practice,blended_family_coach_purchased,ep004_pro_accelerator_purchased,blended-family-coach-certification,ep004-pro-accelerator,blended-family-coach-certification,checkout-blended-family-coach,oto-ep004-pro-accelerator,thank-you-blended-family-coach,97,397,WEEK 4,QUICKWIN,84
PARENTING,Emma,EmmaParenting,EP006,Certified Child Sleep Coach™,child-sleep-coach,ep006-pro-advanced,ep006-pro-master,ep006-pro-practice,child_sleep_coach_purchased,ep006_pro_accelerator_purchased,child-sleep-coach-certification,ep006-pro-accelerator,child-sleep-coach-certification,checkout-child-sleep-coach,oto-ep006-pro-accelerator,thank-you-child-sleep-coach,97,397,GENERATE NOW,FRONTEND,45
PARENTING,Emma,EmmaParenting,EP008,Certified Conscious Parenting Coach™,conscious-parenting-coach,ep008-pro-advanced,ep008-pro-master,ep008-pro-practice,conscious_parenting_coach_purchased,ep008_pro_accelerator_purchased,conscious-parenting-coach-certification,ep008-pro-accelerator,conscious-parenting-coach-certification,checkout-conscious-parenting-coach,oto-ep008-pro-accelerator,thank-you-conscious-parenting-coach,97,397,GENERATE NOW,FRONTEND,28
PARENTING,Emma,EmmaParenting,EP021,Certified Montessori Parent Coach™,montessori-parent-coach,ep021-pro-advanced,ep021-pro-master,ep021-pro-practice,montessori_parent_coach_purchased,ep021_pro_accelerator_purchased,montessori-parent-coach-certification,ep021-pro-accelerator,montessori-parent-coach-certification,checkout-montessori-parent-coach,oto-ep021-pro-accelerator,thank-you-montessori-parent-coach,97,397,WEEK 4,QUICKWIN,83
PARENTING,Emma,EmmaParenting,EP027,Certified Positive Parenting Coach™,positive-parenting-coach,ep027-pro-advanced,ep027-pro-master,ep027-pro-practice,positive_parenting_coach_purchased,ep027_pro_accelerator_purchased,positive-parenting-coach-certification,ep027-pro-accelerator,positive-parenting-coach-certification,checkout-positive-parenting-coach,oto-ep027-pro-accelerator,thank-you-positive-parenting-coach,97,397,GENERATE NOW,FRONTEND,29
PARENTING,Emma,EmmaParenting,EP039,Certified Special Needs Parenting Coach™,special-needs-parenting-coach,ep039-pro-advanced,ep039-pro-master,ep039-pro-practice,special_needs_parenting_coach_purchased,ep039_pro_accelerator_purchased,special-needs-parenting-coach-certification,ep039-pro-accelerator,special-needs-parenting-coach-certification,checkout-special-needs-parenting-coach,oto-ep039-pro-accelerator,thank-you-special-needs-parenting-coach,97,397,WEEK 4,QUICKWIN,85
FAITH-BASED COACHING,Grace,GraceFaithBased,GF002,Certified Birth & Postpartum Doula™,birth-and-postpartum-doula,gf002-pro-advanced,gf002-pro-master,gf002-pro-practice,birth_and_postpartum_doula_purchased,gf002_pro_accelerator_purchased,birth-and-postpartum-doula-certification,gf002-pro-accelerator,birth-and-postpartum-doula-certification,checkout-birth-and-postpartum-doula,oto-gf002-pro-accelerator,thank-you-birth-and-postpartum-doula,97,397,GENERATE NOW,FRONTEND,46
FAITH-BASED COACHING,Grace,GraceFaithBased,GF003,Certified Christian Life Coach™,christian-life-coach,gf003-pro-advanced,gf003-pro-master,gf003-pro-practice,christian_life_coach_purchased,gf003_pro_accelerator_purchased,christian-life-coach-certification,gf003-pro-accelerator,christian-life-coach-certification,checkout-christian-life-coach,oto-gf003-pro-accelerator,thank-you-christian-life-coach,97,397,GENERATE NOW,FRONTEND,39
FAITH-BASED COACHING,Grace,GraceFaithBased,GF006,Certified Faith-Based Recovery Coach™,faith-based-recovery-coach,gf006-pro-advanced,gf006-pro-master,gf006-pro-practice,faith_based_recovery_coach_purchased,gf006_pro_accelerator_purchased,faith-based-recovery-coach-certification,gf006-pro-accelerator,faith-based-recovery-coach-certification,checkout-faith-based-recovery-coach,oto-gf006-pro-accelerator,thank-you-faith-based-recovery-coach,97,397,GENERATE NOW,FRONTEND,47
FAITH-BASED COACHING,Grace,GraceFaithBased,GF007,Certified Faith-Based Wellness Coach™,faith-based-wellness-coach,gf007-pro-advanced,gf007-pro-master,gf007-pro-practice,faith_based_wellness_coach_purchased,gf007_pro_accelerator_purchased,faith-based-wellness-coach-certification,gf007-pro-accelerator,faith-based-wellness-coach-certification,checkout-faith-based-wellness-coach,oto-gf007-pro-accelerator,thank-you-faith-based-wellness-coach,97,397,GENERATE NOW,FRONTEND,48
FAITH-BASED COACHING,Grace,GraceFaithBased,GF009,Certified Integrative Medicine Practitioner™,integrative-medicine-practitioner,gf009-pro-advanced,gf009-pro-master,gf009-pro-practice,integrative_medicine_practitioner_purchased,gf009_pro_accelerator_purchased,integrative-medicine-practitioner-certification,gf009-pro-accelerator,integrative-medicine-practitioner-certification,checkout-integrative-medicine-practitioner,oto-gf009-pro-accelerator,thank-you-integrative-medicine-practitioner,97,397,GENERATE NOW,FRONTEND,7
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE002,Certified Akashic Records Practitioner™,akashic-records-practitioner,se002-pro-advanced,se002-pro-master,se002-pro-practice,akashic_records_practitioner_purchased,se002_pro_accelerator_purchased,akashic-records-practitioner-certification,se002-pro-accelerator,akashic-records-practitioner-certification,checkout-akashic-records-practitioner,oto-se002-pro-accelerator,thank-you-akashic-records-practitioner,97,397,WEEK 3,QUICKWIN,70
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE003,Certified Akashic Records Practitioner™,akashic-records-practitioner,se003-pro-advanced,se003-pro-master,se003-pro-practice,akashic_records_practitioner_purchased,se003_pro_accelerator_purchased,akashic-records-practitioner-certification,se003-pro-accelerator,akashic-records-practitioner-certification,checkout-akashic-records-practitioner,oto-se003-pro-accelerator,thank-you-akashic-records-practitioner,97,397,WEEK 3,QUICKWIN,70
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE013,Certified Chakra Healing Practitioner™,chakra-healing-practitioner,se013-pro-advanced,se013-pro-master,se013-pro-practice,chakra_healing_practitioner_purchased,se013_pro_accelerator_purchased,chakra-healing-practitioner-certification,se013-pro-accelerator,chakra-healing-practitioner-certification,checkout-chakra-healing-practitioner,oto-se013-pro-accelerator,thank-you-chakra-healing-practitioner,97,397,WEEK 3,QUICKWIN,74
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE015,Certified Crystal Healing Practitioner™,crystal-healing-practitioner,se015-pro-advanced,se015-pro-master,se015-pro-practice,crystal_healing_practitioner_purchased,se015_pro_accelerator_purchased,crystal-healing-practitioner-certification,se015-pro-accelerator,crystal-healing-practitioner-certification,checkout-crystal-healing-practitioner,oto-se015-pro-accelerator,thank-you-crystal-healing-practitioner,97,397,GENERATE NOW,FRONTEND,19
SPIRITUAL HEALING & ENERGY WORK,Luna,LunaSpiritualEnergy,SE019,Certified Energy Healing Practitioner™,energy-healing-practitioner,se019-pro-advanced,se019-pro-master,se019-pro-practice,energy_healing_practitioner_purchased,se019_pro_accelerator_purchased,energy-healing-practitioner-certification,se019-pro-accelerator,energy-healing-practitioner-certification,checkout-energy-healing-practitioner,oto-se019-pro-accelerator,thank-you-energy-healing-practitioner,97,397,GENERATE NOW,FRONTEND,17
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE040,Certified Past Life Regression Therapist™,past-life-regression-therapist,se040-pro-advanced,se040-pro-master,se040-pro-practice,past_life_regression_therapist_purchased,se040_pro_accelerator_purchased,past-life-regression-therapist-certification,se040-pro-accelerator,past-life-regression-therapist-certification,checkout-past-life-regression-therapist,oto-se040-pro-accelerator,thank-you-past-life-regression-therapist,97,397,WEEK 3,QUICKWIN,72
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE055,Certified Sound Bath Facilitator™,sound-bath-facilitator,se055-pro-advanced,se055-pro-master,se055-pro-practice,sound_bath_facilitator_purchased,se055_pro_accelerator_purchased,sound-bath-facilitator-certification,se055-pro-accelerator,sound-bath-facilitator-certification,checkout-sound-bath-facilitator,oto-se055-pro-accelerator,thank-you-sound-bath-facilitator,97,397,GENERATE NOW,FRONTEND,62
SPIRITUAL HEALING,Luna,LunaSpiritualEnergy,SE060,Certified Theta Healing Practitioner™,theta-healing-practitioner,se060-pro-advanced,se060-pro-master,se060-pro-practice,theta_healing_practitioner_purchased,se060_pro_accelerator_purchased,theta-healing-practitioner-certification,se060-pro-accelerator,theta-healing-practitioner-certification,checkout-theta-healing-practitioner,oto-se060-pro-accelerator,thank-you-theta-healing-practitioner,97,397,WEEK 3,QUICKWIN,71
MIND-BODY MODALITIES,Maya,MayaMindfulness,MM013,Certified EFT/Tapping Therapist™,efttapping-therapist,mm013-pro-advanced,mm013-pro-master,mm013-pro-practice,efttapping_therapist_purchased,mm013_pro_accelerator_purchased,efttapping-therapist-certification,mm013-pro-accelerator,efttapping-therapist-certification,checkout-efttapping-therapist,oto-mm013-pro-accelerator,thank-you-efttapping-therapist,97,397,GENERATE NOW,FRONTEND,25
THERAPY MODALITIES,Maya,MayaMindfulness,MM047,Certified Ikigai Life Purpose Coach™,ikigai-life-purpose-coach,mm047-pro-advanced,mm047-pro-master,mm047-pro-practice,ikigai_life_purpose_coach_purchased,mm047_pro_accelerator_purchased,ikigai-life-purpose-coach-certification,mm047-pro-accelerator,ikigai-life-purpose-coach-certification,checkout-ikigai-life-purpose-coach,oto-mm047-pro-accelerator,thank-you-ikigai-life-purpose-coach,97,397,WEEK 4,QUICKWIN,79
MIND-BODY MODALITIES,Maya,MayaMindfulness,MM037,Certified TRE (Trauma Release Exercises) Therapist™,tre-trauma-release-exercises-therapist,mm037-pro-advanced,mm037-pro-master,mm037-pro-practice,tre_trauma_release_exercises_therapist_purchased,mm037_pro_accelerator_purchased,tre-trauma-release-exercises-therapist-certification,mm037-pro-accelerator,tre-trauma-release-exercises-therapist-certification,checkout-tre-trauma-release-exercises-therapist,oto-mm037-pro-accelerator,thank-you-tre-trauma-release-exercises-therapist,97,397,GENERATE NOW,FRONTEND,65
THERAPY MODALITIES,Maya,MayaTherapyModalities,TM014,Certified Gestalt Therapy Practitioner™,gestalt-therapy-practitioner,tm014-pro-advanced,tm014-pro-master,tm014-pro-practice,gestalt_therapy_practitioner_purchased,tm014_pro_accelerator_purchased,gestalt-therapy-practitioner-certification,tm014-pro-accelerator,gestalt-therapy-practitioner-certification,checkout-gestalt-therapy-practitioner,oto-tm014-pro-accelerator,thank-you-gestalt-therapy-practitioner,97,397,WEEK 4,QUICKWIN,81
THERAPY MODALITIES,Maya,MayaTherapyModalities,TM013,Certified Parts Work & IFS Therapist™,parts-work-and-ifs-therapist,tm013-pro-advanced,tm013-pro-master,tm013-pro-practice,parts_work_and_ifs_therapist_purchased,tm013_pro_accelerator_purchased,parts-work-and-ifs-therapist-certification,tm013-pro-accelerator,parts-work-and-ifs-therapist-certification,checkout-parts-work-and-ifs-therapist,oto-tm013-pro-accelerator,thank-you-parts-work-and-ifs-therapist,97,397,WEEK 4,QUICKWIN,80
GRIEF & BEREAVEMENT,Olivia,OliviaGriefEndoflife,GL009,Certified Death Doula Specialist™,death-doula-specialist,gl009-pro-advanced,gl009-pro-master,gl009-pro-practice,death_doula_specialist_purchased,gl009_pro_accelerator_purchased,death-doula-specialist-certification,gl009-pro-accelerator,death-doula-specialist-certification,checkout-death-doula-specialist,oto-gl009-pro-accelerator,thank-you-death-doula-specialist,97,397,GENERATE NOW,FRONTEND,16
