Question Category,Question Type,Sample Customer Question,Public Comment Reply (FULL ANSWER - No Link),Private DM (Max CRO with Link)
REQUIREMENTS,Prerequisites,"What base level of education is required?","Great question! 💫 NO formal education is required! We've designed the curriculum to teach you everything from scratch - foundational anatomy all the way to advanced clinical protocols. Our 1,447+ graduates include former teachers, accountants, stay-at-home moms, nurses, and complete career changers. The key requirement is simply a genuine passion for helping people heal naturally. Our oldest graduate was 58! I'm Sarah, and I started at 47 after years of nursing burnout. If you have the desire to help people, you have what it takes. 💚","Hey! I'm so glad you reached out! 💚

This is exactly the question I had before I started my journey...

The beautiful truth? ZERO formal education required.

I'm Sarah - I was a burned-out nurse at 47, exhausted and feeling stuck. I thought I needed another degree. I was WRONG.

Our curriculum is designed from the ground up - you'll learn everything you need, whether you've never taken a science class or you're already a healthcare pro.

Here's the thing... we actually have a few spots open in our current enrollment window, and at $97 (normally $997), this pricing won't last.

I don't want you to miss this. I ALMOST didn't enroll myself because I had the same doubts. Now I make $135K working 20 hours/week from home.

Your seat is ready if you want it:
👉 https://sarah.accredipro.academy/checkout-fm-certification

Reply if you have ANY questions - I read every single message personally.

Rooting for you! 💚
- Sarah"

REQUIREMENTS,Nursing Question,"Do you need to be a nurse? Is this for RNs only?","Not at all! 💪 While so many nurses love this program (I was one!), it's completely open to EVERYONE. Some of our most successful graduates had zero medical background - former teachers, coaches, even artists! The magic is in the curriculum - it teaches you everything step by step. We have 1,447+ graduates from all walks of life building thriving practices. I'm Sarah, and I went from nursing burnout to running a $135K/year practice from home. Your background doesn't limit you - your commitment does! ✨","Hey there! 💚

I love this question because I get it - I was a nurse for years and thought that WAS my path.

But here's the truth: You absolutely do NOT need to be a nurse.

In fact, some of our TOP graduates were:
✓ A former special ed teacher (now earning $11K/month)
✓ A stay-at-home mom (now fully booked with a waitlist)
✓ A stressed-out executive (now helping others heal)

I'm Sarah - I happened to be a nurse, but that's not what made me successful in functional medicine. The TRAINING made me successful.

And right now, we have spots available at the special $97 rate (normally $997). This is the lowest price we've ever offered.

I saved a spot for you:
👉 https://sarah.accredipro.academy/checkout-fm-certification

Don't let 'I'm not qualified enough' stop you. I felt that way too... now I'm living proof it was just fear talking.

Let's do this together 💪
- Sarah"

REQUIREMENTS,Age Concern,"Am I too old to start this?","Oh my goodness, ABSOLUTELY NOT! 🌟 Can I be honest? Age is your SUPERPOWER. Clients want practitioners with life experience, wisdom, and understanding. They trust someone who has lived! Our oldest graduate was 58 and she's absolutely thriving with a waitlist. I started at 47 myself after years of nursing, and now I work 20 hours/week from home earning more than I ever did in the hospital. Many of our most successful graduates are in their 40s, 50s, and 60s. Your life experience makes you MORE relatable, not less! 💚","Listen, I need to tell you something important... 💚

When I was 47, I asked myself the exact same question. 'Am I too old? Is it too late?'

I almost didn't enroll. I almost let that voice win.

Thank GOD I didn't listen.

Today I work 20 hours a week from home, earn $135K, and have a 3-month client waitlist. I have more energy, more purpose, and more freedom than I did in my 30s.

Here's what I've learned: CLIENTS PREFER practitioners with life experience. They want someone who GETS IT. Someone who's lived. Someone with wisdom.

Our oldest graduate was 58. She's one of our biggest success stories.

Your age isn't an obstacle. It's your competitive advantage.

I held a spot for you - this could be YOUR second chapter:
👉 https://sarah.accredipro.academy/checkout-fm-certification

Don't wait another year wondering 'what if.' I almost made that mistake.

You've got this! 💚
- Sarah (who started at 47 and wishes she'd started sooner)"

COST,Price,"What is the cost? How much does this cost?","Great question! 💫 Right now we have a very special offer at $97 (normally $997) for the complete Certified Functional Medicine Practitioner program. That includes all 21 comprehensive modules, the certification exam, your official credentials, lifetime access, and practice-building resources. We made this accessible because we believe everyone deserves this knowledge - traditional programs charge $5,000-$15,000 for the same training. I'm Sarah, and this is honestly the most accessible path to a thriving functional medicine practice that I've ever seen! 🎉","Hey! Thanks for reaching out! 🙌

I'm about to tell you something that might sound too good to be true...

The complete Certified Functional Medicine Practitioner program is $97 right now.

Yes. Ninety-seven dollars. I'm not kidding.

Now here's the thing... it's normally $997. We have this special pricing because our mission is to make functional medicine ACCESSIBLE. We believe everyone deserves this knowledge.

But this price won't last. It can't. We've already had over 1,447 graduates at this rate and...

Okay, I need to be honest with you. I don't know exactly when it's going back to $997. It could be next week. I just don't want you to miss it.

Here's everything you get:
✓ All 21 comprehensive modules
✓ Certification exam
✓ Official certificate  
✓ Lifetime access (forever!)
✓ 9 accrediting bodies
✓ My personal support

Your spot is waiting:
👉 https://sarah.accredipro.academy/checkout-fm-certification

Seriously, for the price of dinner out, you can change your entire career trajectory. That's what happened to me.

Talk soon! 💚
- Sarah"

COST,Value/Worth,"Is this legit? $97 seems too cheap.","I completely understand the skepticism - I felt it too! 💭 Here's the truth: traditional programs charge $5,000-$15,000 for this level of training. We made a conscious decision to make it accessible because we believe everyone deserves this knowledge. We have 1,447+ REAL graduates building thriving practices, 9 recognized accrediting bodies, and hundreds of verified reviews. I'm Sarah - I'm a real person with a real story. I was skeptical too when I enrolled, but it changed my life. Now I earn $135K working 20 hours/week from home. The curriculum is comprehensive - 21 modules of deep clinical training. It's 100% legit. ✨","I love that you're protecting yourself - that's smart! 💪

Let me be completely transparent with you...

Traditional functional medicine certifications cost $5,000 to $15,000. Some cost even MORE.

When I was looking to get certified, I almost couldn't afford it. I was a nurse making $68K with bills piling up. The $8,000 program I was looking at? Impossible.

That's exactly why AccrediPro exists.

We believe this knowledge changes lives - for practitioners AND for clients. So we made a decision: Go high-volume, low-price. Make it accessible to EVERYONE.

Is it legit? Here's your proof:
✓ 1,447+ graduates with real practices
✓ 9 recognized accrediting bodies you can Google
✓ Hundreds of verified 5-star reviews
✓ Real success stories you can verify
✓ Me - Sarah. Real person. Real story. Real results.

The curriculum is COMPREHENSIVE. I'm talking 21 modules of deep clinical training. Gut healing protocols. Hormone interpretation. Lab analysis. Everything.

Your risk? $97. Your potential upside? A six-figure career helping people actually heal.

I wouldn't steer you wrong:
👉 https://sarah.accredipro.academy/checkout-fm-certification

I'm personally inviting you in. Let me show you what's possible.

With belief in you 💚
- Sarah"

